,twsa,precip_mm
2007-01-01,0.3484805226325989,1.8633822
2007-02-01,3.5036909580230713,2.076377
2007-03-01,6.545384407043457,2.475602
2007-04-01,6.668433666229248,2.6699746
2007-05-01,2.578096389770508,1.7488012
2007-06-01,-0.30541813373565674,1.2670377
2007-07-01,-5.6811723709106445,0.6355337
2007-08-01,-8.925485610961914,0.9102215
2007-09-01,-11.813030242919922,0.47743854
2007-10-01,-12.781729698181152,1.5740279
2007-11-01,-8.334242820739746,3.1138444
2007-12-01,-1.396686315536499,2.5235991
2008-01-01,-0.2675466239452362,1.7279111
2008-02-01,2.6509346961975098,1.6689312
2008-03-01,1.1319063901901245,1.9326104
2008-04-01,3.5826258659362793,1.6305923
2008-05-01,-0.8204471468925476,1.8017902
2008-06-01,-4.9864935874938965,1.0050147
2008-07-01,-8.760278701782227,0.5150271
2008-08-01,-13.024404525756836,0.51756597
2008-09-01,-16.688674926757812,1.9822764
2008-10-01,-15.085382461547852,1.1769584
2008-11-01,-14.030147552490234,1.7396067
2008-12-01,-8.419978141784668,1.9999678
2009-01-01,-4.779098033905029,2.480377
2009-02-01,-0.3895112872123718,3.8846781
2009-03-01,3.643765687942505,3.253198
2009-04-01,6.838247776031494,2.4550793
2009-05-01,5.425837993621826,1.9500756
2009-06-01,0.2770440876483917,1.3403821
2009-07-01,-2.120589256286621,1.3446773
2009-08-01,-7.654917240142822,0.48214972
2009-09-01,-10.271048545837402,1.6882893
2009-10-01,-11.3816499710083,1.5810732
2009-11-01,-5.728285312652588,2.809215
2009-12-01,-0.25684571266174316,3.2079926
2010-01-01,7.861627101898193,3.9146693
2010-02-01,10.777740478515625,3.0996451
2010-03-01,13.54483699798584,2.446395
2010-04-01,11.304523468017578,2.6697433
2010-05-01,8.929363250732422,1.9040465
2010-06-01,3.316628932952881,2.1959698
2010-07-01,-0.23039878904819489,0.767049
2010-08-01,-6.152068614959717,0.34108147
2010-09-01,-9.452024459838867,0.7675615
2010-10-01,-6.932819843292236,3.1549027
2010-11-01,-5.031321048736572,0.4125066
2010-12-01,-1.0575981140136719,2.7626383
2011-01-01,3.9332124278880642,2.2447996
2011-02-01,4.960729598999023,2.4435153
2011-03-01,8.286039352416992,2.2392042
2011-04-01,8.247760772705078,4.2358956
2011-05-01,8.844188690185547,3.021562
2011-06-01,7.50516143288405,1.7486049
2011-07-01,0.3389078676700592,0.766002
2011-08-01,-4.861735820770264,0.60377944
2011-09-01,-8.227747917175293,0.8744019
2011-10-01,-8.725303649902344,2.075372
2011-11-01,-7.359234833973461,1.3983874
2011-12-01,-2.5482494831085205,1.919751
2012-01-01,0.2694423794746399,3.8426402
2012-02-01,5.493641376495361,3.3806329
2012-03-01,10.242697715759277,2.1057572
2012-04-01,9.402377128601074,1.7872385
2012-05-01,6.271365165594033,2.879076
2012-06-01,3.9893529415130615,1.0276288
2012-07-01,-1.9056531190872192,0.78195304
2012-08-01,-7.707848072052002,0.80688244
2012-09-01,-11.196168899536133,0.45078513
2012-10-01,-12.556546150961367,1.6821306
2012-11-01,-6.95877742767334,2.1537635
2012-12-01,-2.1228322982788086,4.1867394
2013-01-01,5.131072044372559,3.3696153
2013-02-01,8.762704849243164,2.6604478
2013-03-01,11.302763555577256,2.2926743
2013-04-01,12.289143562316895,2.1748965
2013-05-01,8.422172546386719,1.9763849
2013-06-01,5.392514228820801,1.1121373
2013-07-01,-1.4777965545654297,0.5928791
2013-08-01,-7.910022362586461,0.42837998
2013-09-01,-11.209898244451324,0.86130357
2013-10-01,-7.887796401977539,1.514391
2013-11-01,-8.162358283996582,1.7103639
2013-12-01,-5.770805835723877,1.5225976
2014-01-01,-4.714896202087402,1.9240392
2014-02-01,2.4110897027712768,0.9464662
2014-03-01,0.6091058850288391,2.8497553
2014-04-01,-0.8954339027404785,2.0263
2014-05-01,-1.3633705377578735,2.4890506
2014-06-01,-4.079211711883545,1.917612
2014-07-01,-4.70066530321492,0.77900225
2014-08-01,-12.279061317443848,0.7309406
2014-09-01,-13.521985054016113,2.1410022
2014-10-01,-11.757124900817871,2.390449
2014-11-01,-8.581936836242676,2.22848
2014-12-01,-5.694116371232668,2.7546368
2015-01-01,3.039599895477295,2.9354188
2015-02-01,6.0683770179748535,3.2847784
2015-03-01,7.228707790374756,3.446304
2015-04-01,8.455439567565918,2.6165454
2015-05-01,5.616995703036081,2.231718
2015-06-01,2.564403505195513,2.396689
2015-07-01,-1.1851568222045898,0.3487194
2015-08-01,-6.43316125869751,0.95942086
2015-09-01,-10.577433586120605,0.89262444
2015-10-01,-9.746417189759086,2.865143
2015-11-01,-3.8172042040387177,1.527492
2015-12-01,-4.530130863189697,0.934439
2016-01-01,1.2422622442245483,4.112172
2016-02-01,4.893320083618164,2.1320992
2016-03-01,5.457828044891357,2.907966
2016-04-01,7.844027347149675,1.5290796
2016-05-01,5.188238620758057,2.986456
2016-06-01,1.966077446937561,1.6440996
2016-07-01,-2.3611998558044434,0.7204605
2016-08-01,-9.402484893798828,0.78324383
2016-09-01,-10.472437511394673,1.2241532
2016-10-01,-10.816813583260227,0.9406176
2016-11-01,-9.878471374511719,1.6323869
2016-12-01,-6.13026237487793,3.3337178
2017-01-01,-0.34860196709632874,2.6293526
2017-02-01,4.156568183563649,0.77276987
2017-03-01,3.2298669815063477,2.6085315
2017-04-01,0.03468617424368858,2.6417031
2017-05-01,1.2291803359985352,2.9073324
2017-06-01,0.2652241289615631,1.4271022
2017-07-01,-3.1001639093883577,0.5302338
2017-08-01,-8.311952870775713,0.7361769
2017-09-01,-11.61121052148519,0.5135374
2017-10-01,-13.872381567169214,1.6698062
2017-11-01,-11.598591332607612,2.0353334
2017-12-01,-7.5285988200848815,2.2668831
2018-01-01,-2.9809318236802946,3.0210855
2018-02-01,2.4672095418500235,2.3957384
2018-03-01,4.31926956900861,2.6723187
2018-04-01,4.8249826541141365,1.1428641
2018-05-01,-0.0005535392556349746,3.5095792
2018-06-01,-2.4434616565704346,1.8560768
2018-07-01,-6.064194202423096,0.792148
2018-08-01,-8.537234798975987,0.63888854
2018-09-01,-12.006321676686639,0.8951666
2018-10-01,-15.031766891479492,2.2007165
2018-11-01,-14.018444061279297,2.537695
2018-12-01,-6.009270191192627,4.551545
2019-01-01,1.201123595237732,4.192386
2019-02-01,5.557131767272949,2.3514252
2019-03-01,4.300014495849609,2.8496737
2019-04-01,10.01524543762207,3.1290321
2019-05-01,7.8595147132873535,1.7111083
2019-06-01,1.9383747577667236,1.8814245
2019-07-01,-4.505663871765137,0.8366782
2019-08-01,-8.698816299438477,0.6812972
2019-09-01,-12.723368644714355,0.74510986
2019-10-01,-12.387133598327637,0.9854138
2019-11-01,-12.066339492797852,1.1879106
2019-12-01,-6.869015693664551,3.2340212
2020-01-01,-3.1940910816192627,2.570442
2020-02-01,1.6735669374465942,3.2771525
2020-03-01,3.9985716342926025,2.9620814
2020-04-01,6.916851043701172,2.3837442
2020-05-01,4.076629161834717,2.4844873
2020-06-01,-1.3455747365951538,1.4874872
2020-07-01,-6.149677753448486,0.6254488
2020-08-01,-11.16276741027832,0.5362005
2020-09-01,-11.526094436645508,0.36985955
2020-10-01,-14.745933532714844,0.7390992
2020-11-01,-14.732392311096191,1.4343498
2020-12-01,-12.888317108154297,1.5027958
2021-01-01,-9.67763614654541,3.2970264
2021-02-01,-2.1922109127044678,1.5740874
2021-03-01,-1.1597936153411865,3.3146973
2021-04-01,-0.6210324168205261,1.8349204
2021-05-01,-4.338042259216309,1.1482244
2021-06-01,-7.3383073806762695,1.3201206
2021-07-01,-11.069193840026855,0.8043119
2021-08-01,-15.27394962310791,0.840876
2021-09-01,-17.248472213745117,1.1305267
2021-10-01,-20.758895874023438,1.1485958
2021-11-01,-20.341670989990234,1.6705079
2021-12-01,-14.47514820098877,2.773429
2022-01-01,-5.48744535446167,3.2954369
2022-02-01,-3.5093395709991455,2.4636207
2022-03-01,2.8828177452087402,3.2390802
2022-04-01,-1.6452839374542236,1.4235463
2022-05-01,-1.8800302743911743,2.0047567
2022-06-01,-4.857802391052246,2.0731316
2022-07-01,-7.964612007141113,0.3714927
2022-08-01,-15.373613357543945,0.5722661
2022-09-01,-19.825895309448242,0.43570977
2022-10-01,-19.86009979248047,0.6500547
2022-11-01,-18.910158157348633,0.9085937
2022-12-01,-13.626083374023438,0.56843764
2023-01-01,-13.517816543579102,0.6472703
2023-02-01,-9.677270889282227,1.0836965
2023-03-01,-7.005935192108154,2.035185
2023-04-01,-4.412106513977051,1.9379339
2023-05-01,0.4046400785446167,1.4719881
2023-06-01,-0.7995879054069519,1.2797314
2023-07-01,-7.0903754234313965,0.3737404
2023-08-01,-13.73401927947998,0.18379478
2023-09-01,-16.890363693237305,0.4061431
2023-10-01,-18.61797332763672,0.6749081
2023-11-01,-17.210201263427734,1.9827121
2023-12-01,-9.100318908691406,1.3266625
2024-01-01,-3.941883087158203,1.7408993
2024-02-01,-1.1827151775360107,0.827387
2024-03-01,1.4462615251541138,2.8765523
2024-04-01,-0.7925581932067871,1.3580483
2024-05-01,-0.33566710352897644,3.289786
2024-06-01,-5.9091949462890625,0.75383204
2024-07-01,-10.30752182006836,1.2948431
2024-08-01,-14.117024421691895,0.65119267
2024-09-01,-18.549833297729492,1.6096573
2024-10-01,-19.164148330688477,0.9901548
2024-11-01,-17.768957138061523,2.1580436
2024-12-01,-14.165122032165527,2.5862668
2025-01-01,-10.984795570373535,1.0596372
2025-02-01,-7.829869270324707,2.0495532
2025-03-01,-13.93055534362793,1.4766948
2025-04-01,-8.805858612060547,3.3317943
2025-05-01,-9.392398834228516,2.2553265
2025-06-01,-14.626511573791504,0.6428606
2025-07-01,-18.651668548583984,0.46919018
2025-08-01,-23.77039909362793,0.31044853
2025-09-01,-27.34807014465332,0.8367618
2025-10-01,-27.156723022460938,1.708561
2025-11-01,-23.484851837158203,1.2150427
2025-12-01,-19.706213, 1.2150427
2026-01-16,-14.356680, 1.708561
